Title;GGS Rating
INTERNATIONAL CONFERENCE ON 3D IMAGING, MODELING, PROCESSING, VISUALIZATION & TRANSMISSION;Work in Progress
INTERNATIONAL SYMPOSIUM ON 3D DATA PROCESSING, VISUALIZATION AND TRANSMISSION;Work in Progress
3DTV-CONFERENCE: THE TRUE VISION - CAPTURE, TRANSMISSION AND DISPLAY OF 3D VIDEO;Work in Progress
IEEE SYMPOSIUM ON 3D USER INTERFACES;Work in Progress
INTERNATIONAL CONFERENCE ON 3D VISION;Work in Progress
INTERNATIONAL CONFERENCE ON P2P, PARALLEL, GRID, CLOUD, AND INTERNET COMPUTING;Work in Progress
ASIAN SOLID-STATE CIRCUITS CONFERENCE;Work in Progress
SYMPOSIUM OF ASIAN ASSOCIATION FOR ALGORITHMS AND COMPUTATION;Work in Progress
CONFERENCE ON ARTIFICIAL INTELLIGENCE;A++
ALGORITHMIC APPLICATIONS IN MANAGEMENT;Work in Progress
ADAPTIVE AGENTS AND MULTI-AGENTS SYSTEMS;A
TRUST IN AGENT SOCIETIES;Work in Progress
ABSTRACT STATE MACHINES, ALLOY, B AND Z;Work in Progress
AIAA/CEAS AEROACOUSTICS CONFERENCE;Work in Progress
AUSTRALIAN CONFERENCE ON ARTIFICIAL LIFE AND COMPUTATIONAL INTELLIGENCE;Work in Progress
APPLIED COMPUTING CONFERENCE;Work in Progress
AUSTRALASIAN CONFERENCE ON COMBINATORIAL MATHEMATICS AND COMBINATORIAL COMPUTING;Work in Progress
CONFERENCE COGNITIVE SCIENCE;Work in Progress
INTERNATIONAL WORKSHOP ON ALGEBRAIC AND COMBINATORIAL CODING THEORY;Work in Progress
INTERNATIONAL CONFERENCE ON ADVANCES IN COMPUTING, CONTROL, AND TELECOMMUNICATION TECHNOLOGIES;Work in Progress
ASIAN CONFERENCE ON COMPUTER VISION;B
ACM INTERNATIONAL CONFERENCE ON ADVANCES IN COMPUTER ENTERTAINMENT (MERGED WITH DIMEA, DIGITAL INTERACTIVE MEDIA IN ENTERTAINMENT AND ARTS, IN 2009);B-
AUSTRALASIAN COMPUTING EDUCATION CONFERENCE (ACE);Work in Progress
ADVANCES IN COMPUTER-HUMAN INTERACTION;Work in Progress
AFFECTIVE COMPUTING AND INTELLIGENT INTERACTION;B-
ASIAN CONFERENCE ON INTELLIGENT INFORMATION AND DATABASE SYSTEMS;Work in Progress
IEEE/ACIS INTERNATIONAL CONFERENCE ON COMPUTER AND INFORMATION SCIENCE;Work in Progress
AUSTRALASIAN CONFERENCE ON INFORMATION SECURITY AND PRIVACY;Work in Progress
ADVANCED CONCEPTS FOR INTELLIGENT VISION SYSTEMS;B-
ASSOCIATION OF COMPUTATIONAL LINGUISTICS;A++
WORKSHOP ON THE ACL2 THEOREM PROVER AND ITS APPLICATIONS;Work in Progress
WORKSHOP CHALLENGED NETWORKS;Work in Progress
ACM SYMPOSIUM ON APPLIED COMPUTING;A-
INTERNATIONAL SYMPOSIUM ON SYMBOLIC AND ALGEBRAIC COMPUTATION;B
ACM-SIGMIS CPR CONFERENCE;Work in Progress
ACM/IEEE SYMPOSIUM ON EDGE COMPUTING;Work in Progress
ACM SYMPOSIUM ON COMPUTING AND DEVELOPMENT;Work in Progress
ASIAN CONFERENCE ON MACHINE LEARNING;Work in Progress
ACM MULTIMEDIA;A++
ACM SOUTHEAST REGIONAL CONFERENCE;Work in Progress
INTERNATIONAL CONFERENCE ON APPLIED CRYPTOGRAPHY AND NETWORK SECURITY;A-
ASIAN CONFERENCE ON PATTERN RECOGNITION;Work in Progress
AUSTRALASIAN CONFERENCE ON ROBOTICS AND AUTOMATION;Work in Progress
CELLULAR AUTOMATA FOR RESEARCH AND INDUSTRY;Work in Progress
IEEE INTERNATIONAL SYMPOSIUM ON ASYNCHRONOUS CIRCUITS AND SYSTEMS;Work in Progress
ANNUAL COMPUTER SECURITY APPLICATIONS CONFERENCE;A
INTERNATIONAL CONFERENCE ON APPLICATION OF CONCURRENCY TO SYSTEM DESIGN;B-
ASILOMAR CONFERENCE ON SIGNALS, SYSTEMS AND COMPUTERS;Work in Progress
INTERNATIONAL CONFERENCE ON RELIABLE SOFTWARE TECHNOLOGIES;Work in Progress
ADVANCES IN DATABASES AND INFORMATION SYSTEMS;Work in Progress
AUSTRALASIAN DATABASE CONFERENCE;Work in Progress
AUSTRALASIAN DOCUMENT COMPUTING SYMPOSIUM;Work in Progress
INTERNATIONAL CONFERENCE ON AD-HOC NETWORKS AND WIRELESS;Work in Progress
AD HOC NETWORKS;B-
INTERNATIONAL CONFERENCE ON ADVANCED DATA MINING AND APPLICATIONS;B-
INTERNATIONAL WORKSHOP ON AGENTS AND DATA MINING INTERACTION;Work in Progress
IEEE INTERNATIONAL SYMPOSIUM ON ADAPTIVE DYNAMIC PROGRAMMING AND REINFORCEMENT LEARNING;Work in Progress
AGENT-DIRECTED SIMULATION;Work in Progress
ALGORITHMIC DECISION THEORY;Work in Progress
INTERNATIONAL CONFERENCE ON APPLIED ELECTRONICS;Work in Progress
IEEE AEROSPACE CONFERENCE;Work in Progress
IEEE INTERNATIONAL CONFERENCE ON AUTOMATIC FACE AND GESTURE RECOGNITION;A-
INTERNATIONAL CONFERENCE ON CRYPTOLOGY IN AFRICA;B-
AFRICON;Work in Progress
COMPUTER GRAPHICS, VIRTUAL REALITY, VISUALISATION AND INTERACTION IN AFRICA;Work in Progress
ARTIFICIAL GENERAL INTELLIGENCE;Work in Progress
