0;Title;Acronym;GGS Rating
0;INTERNATIONAL CONFERENCE ON 3D IMAGING, MODELING, PROCESSING, VISUALIZATION & TRANSMISSION;3DIMPVT;Work in Progress
1;INTERNATIONAL SYMPOSIUM ON 3D DATA PROCESSING, VISUALIZATION AND TRANSMISSION;3DPVT;Work in Progress
2;3DTV-CONFERENCE: THE TRUE VISION - CAPTURE, TRANSMISSION AND DISPLAY OF 3D VIDEO;3DTV-CON;Work in Progress
3;IEEE SYMPOSIUM ON 3D USER INTERFACES;3DUI;Work in Progress
4;INTERNATIONAL CONFERENCE ON 3D VISION;3DV;Work in Progress
5;INTERNATIONAL CONFERENCE ON P2P, PARALLEL, GRID, CLOUD, AND INTERNET COMPUTING;3PGCIC;Work in Progress
6;ASIAN SOLID-STATE CIRCUITS CONFERENCE;A-SSCC;Work in Progress
7;SYMPOSIUM OF ASIAN ASSOCIATION FOR ALGORITHMS AND COMPUTATION;AAAC;Work in Progress
8;CONFERENCE ON ARTIFICIAL INTELLIGENCE;AAAI;A++
9;ALGORITHMIC APPLICATIONS IN MANAGEMENT;AAIM;Work in Progress
10;ADAPTIVE AGENTS AND MULTI-AGENTS SYSTEMS;AAMAS;A
11;TRUST IN AGENT SOCIETIES;AAMAS-TRUST;Work in Progress
12;ABSTRACT STATE MACHINES, ALLOY, B AND Z;ABZ;Work in Progress
13;AIAA/CEAS AEROACOUSTICS CONFERENCE;AC;Work in Progress
14;AUSTRALIAN CONFERENCE ON ARTIFICIAL LIFE AND COMPUTATIONAL INTELLIGENCE;ACALCI;Work in Progress
15;APPLIED COMPUTING CONFERENCE;ACC;Work in Progress
16;AUSTRALASIAN CONFERENCE ON COMBINATORIAL MATHEMATICS AND COMBINATORIAL COMPUTING;ACCMCC;Work in Progress
17;CONFERENCE COGNITIVE SCIENCE;ACCS;Work in Progress
18;INTERNATIONAL WORKSHOP ON ALGEBRAIC AND COMBINATORIAL CODING THEORY;ACCT;Work in Progress
19;INTERNATIONAL CONFERENCE ON ADVANCES IN COMPUTING, CONTROL, AND TELECOMMUNICATION TECHNOLOGIES;ACCTT;Work in Progress
20;ASIAN CONFERENCE ON COMPUTER VISION;ACCV;B
21;ACM INTERNATIONAL CONFERENCE ON ADVANCES IN COMPUTER ENTERTAINMENT (MERGED WITH DIMEA, DIGITAL INTERACTIVE MEDIA IN ENTERTAINMENT AND ARTS, IN 2009);DIMEA;B-
22;AUSTRALASIAN COMPUTING EDUCATION CONFERENCE (ACE);ACE-AUS;Work in Progress
23;ADVANCES IN COMPUTER-HUMAN INTERACTION;ACHI;Work in Progress
24;AFFECTIVE COMPUTING AND INTELLIGENT INTERACTION;ACII;B-
25;ASIAN CONFERENCE ON INTELLIGENT INFORMATION AND DATABASE SYSTEMS;ACIIDS;Work in Progress
26;IEEE/ACIS INTERNATIONAL CONFERENCE ON COMPUTER AND INFORMATION SCIENCE;ACIS ICIS;Work in Progress
27;AUSTRALASIAN CONFERENCE ON INFORMATION SECURITY AND PRIVACY;ACISP;Work in Progress
28;ADVANCED CONCEPTS FOR INTELLIGENT VISION SYSTEMS;ACIVS;B-
29;ASSOCIATION OF COMPUTATIONAL LINGUISTICS;ACL;A++
30;WORKSHOP ON THE ACL2 THEOREM PROVER AND ITS APPLICATIONS;ACL2;Work in Progress
31;WORKSHOP CHALLENGED NETWORKS;ACM CHANTS;Work in Progress
32;ACM SYMPOSIUM ON APPLIED COMPUTING;ACM SAC;A-
33;INTERNATIONAL SYMPOSIUM ON SYMBOLIC AND ALGEBRAIC COMPUTATION;ISSAC;B
34;ACM-SIGMIS CPR CONFERENCE;ACM-SIGMIS CPR;Work in Progress
35;ACM/IEEE SYMPOSIUM ON EDGE COMPUTING;ACM/IEEE SEC;Work in Progress
36;ACM SYMPOSIUM ON COMPUTING AND DEVELOPMENT;ACMDEV;Work in Progress
37;ASIAN CONFERENCE ON MACHINE LEARNING;ACML;Work in Progress
38;ACM MULTIMEDIA;ACMMM;A++
39;ACM SOUTHEAST REGIONAL CONFERENCE;ACMSE;Work in Progress
40;INTERNATIONAL CONFERENCE ON APPLIED CRYPTOGRAPHY AND NETWORK SECURITY;ACNS;A-
41;ASIAN CONFERENCE ON PATTERN RECOGNITION;ACPR;Work in Progress
42;AUSTRALASIAN CONFERENCE ON ROBOTICS AND AUTOMATION;ACRA;Work in Progress
43;CELLULAR AUTOMATA FOR RESEARCH AND INDUSTRY;ACRI;Work in Progress
44;IEEE INTERNATIONAL SYMPOSIUM ON ASYNCHRONOUS CIRCUITS AND SYSTEMS;ACS;Work in Progress
45;ANNUAL COMPUTER SECURITY APPLICATIONS CONFERENCE;ACSAC;A
46;INTERNATIONAL CONFERENCE ON APPLICATION OF CONCURRENCY TO SYSTEM DESIGN;ACSD;B-
47;ASILOMAR CONFERENCE ON SIGNALS, SYSTEMS AND COMPUTERS;ACSSC;Work in Progress
48;INTERNATIONAL CONFERENCE ON RELIABLE SOFTWARE TECHNOLOGIES;ADA-EUROPE;Work in Progress
49;ADVANCES IN DATABASES AND INFORMATION SYSTEMS;ADBIS;Work in Progress
50;AUSTRALASIAN DATABASE CONFERENCE;ADC;Work in Progress
51;AUSTRALASIAN DOCUMENT COMPUTING SYMPOSIUM;ADCS;Work in Progress
52;INTERNATIONAL CONFERENCE ON AD-HOC NETWORKS AND WIRELESS;ADHOC-NOW;Work in Progress
53;AD HOC NETWORKS;ADHOCNETS;B-
54;INTERNATIONAL CONFERENCE ON ADVANCED DATA MINING AND APPLICATIONS;ADMA;B-
55;INTERNATIONAL WORKSHOP ON AGENTS AND DATA MINING INTERACTION;ADMI;Work in Progress
56;IEEE INTERNATIONAL SYMPOSIUM ON ADAPTIVE DYNAMIC PROGRAMMING AND REINFORCEMENT LEARNING;ADPRL;Work in Progress
57;AGENT-DIRECTED SIMULATION;ADS;Work in Progress
58;ALGORITHMIC DECISION THEORY;ADT;Work in Progress
59;INTERNATIONAL CONFERENCE ON APPLIED ELECTRONICS;AE;Work in Progress
60;IEEE AEROSPACE CONFERENCE;AEROCONF;Work in Progress
61;IEEE INTERNATIONAL CONFERENCE ON AUTOMATIC FACE AND GESTURE RECOGNITION;FG;A-
62;INTERNATIONAL CONFERENCE ON CRYPTOLOGY IN AFRICA;AFRICACRYPT;B-
63;AFRICON;AFRICON;Work in Progress
64;COMPUTER GRAPHICS, VIRTUAL REALITY, VISUALISATION AND INTERACTION IN AFRICA;AFRIGRAPH;Work in Progress
65;ARTIFICIAL GENERAL INTELLIGENCE;AGI;Work in Progress
66;AGILE CONFERENCE ON GEOGRAPHIC INFORMATION SCIENCE;AGILE_A;Work in Progress
67;AUGMENTED HUMAN INTERNATIONAL CONFERENCE;AH;Work in Progress
68;INTERNATIONAL CONFERENCE ON ADAPTIVE HYPERMEDIA AND ADAPTIVE WEB-BASED SYSTEMS;AH-UM;Work in Progress
69;ADAPTIVE HARDWARE AND SYSTEMS;AHS;Work in Progress
70;CONGRESS OF THE ITALIAN ASSOCIATION FOR ARTIFICIAL INTELLIGENCE;AI*IA;Work in Progress
71;AUSTRALASIAN JOINT CONFERENCE ON ARTIFICIAL INTELLIGENCE;AI;Work in Progress
72;CONFERENCE ON ARTIFICIAL INTELLIGENCE FOR APPLICATIONS;AIA;Not Rated (discontinued event)
73;ARTIFICIAL INTELLIGENCE APPLICATIONS AND INNOVATIONS;AIAI;Work in Progress
74;ACS/IEEE INTERNATIONAL CONFERENCE ON COMPUTER SYSTEMS AND APPLICATIONS;AICCSA;Work in Progress
75;AUSTRALIAN INSTITUTE OF COMPUTER ETHICS CONFERENCE;AICE;Work in Progress
76;ARTIFICIAL INTELLIGENCE AND COMPUTATIONAL INTELLIGENCE;AICI;Work in Progress
77;ADVANCED INDUSTRIAL CONFERENCE ON TELECOMMUNICATIONS;AICT;Work in Progress
78;INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE IN EDUCATION;AIED;B
79;ARTIFICIAL INTELLIGENCE AND INTERACTIVE DIGITAL ENTERTAINMENT;AIIDE;Work in Progress
80;INTERNATIONAL CONFERENCE ON ADVANCED INTELLIGENT MECHATRONICS;AIM;Work in Progress
81;ARTIFICIAL INTELLIGENCE IN MEDICINE IN EUROPE;AIME;Work in Progress
82;ADVANCES IN MODAL LOGIC;AIML;Work in Progress
83;AUTONOMOUS INFRASTRUCTURE, MANAGEMENT AND SECURITY;AIMS;Work in Progress
84;ARTIFICIAL INTELLIGENCE: METHODOLOGY, SYSTEMS, APPLICATIONS;AIMSA;Work in Progress
85;ADVANCED INFORMATION NETWORKING AND APPLICATIONS;AINA;B
86;APPLIED IMAGERY PATTERN RECOGNITION WORKSHOP;AIPR;Work in Progress
87;INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE PLANNING SYSTEMS;AIPS;Work in Progress
88;ASIA INFORMATION RETRIEVAL SYMPOSIUM;AIRS;Work in Progress
89;ADVERSARIAL INFORMATION RETRIEVAL ON THE WEB;AIRWEB;Work in Progress
90;ARTIFICIAL INTELLIGENCE AND THE SIMULATION OF BEHAVIOUR;AISB;Work in Progress
91;ARTIFICIAL INTELLIGENCE AND SYMBOLIC COMPUTATION;AISC;Work in Progress
92;AUSTRALASIAN INFORMATION SECURITY CONFERENCE;AISC-AUS;Work in Progress
93;INTERNATIONAL CONFERENCE ON ANALYSIS OF IMAGES, SOCIAL NETWORKS AND TEXTS;AIST;Work in Progress
94;INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE AND STATISTICS;AISTATS;A+
95;AI & SECURITY WORKSHOP;AISEC;Work in Progress
96;ASLIB JOURNAL OF INFORMATION MANAGEMENT;AJIM;Work in Progress
97;WORKSHOP ON ALGORITHM ENGINEERING AND EXPERIMENTS;ALENEX;B
98;ENGG WORKSHOP ON ALGORITHM ENGINEERING;ALG;Work in Progress
99;EUROPEAN CONFERENCE ON COMPUTER ALGEBRA;ALGEBRA;Work in Progress
100;ALGORITHMIC ASPECTS OF WIRELESS SENSOR NETWORKS;ALGOSENSORS;Work in Progress
101;IEEE INTERNATIONAL SYMPOSIUM ON ARTIFICIAL LIFE;ALIFE;Work in Progress
102;ALLERTON CONFERENCE ON COMMUNICATION, CONTROL, AND COMPUTING;ALLERTON;Work in Progress
103;ALGORITHMIC LEARNING THEORY;ALT;B
104;AUSTRALASIAN LANGUAGE TECHOLOGY WORKSHOP;ALTA;Work in Progress
105;ALGEBRAIC METHODOLOGY AND SOFTWARE TECHNOLOGY;AMAST;Work in Progress
106;INTERNATIONAL WORKSHOP ON ADVANCED MOTION CONTROL;AMC;Work in Progress
107;AMERICAN CONTROL CONFERENCE;AMCC;A
108;AMERICAS CONFERENCE ON INFORMATION SYSTEMS;AMCIS;B
109;ARTICULATED MOTION AND DEFORMABLE OBJECTS;AMDO;Work in Progress
110;ANALYSIS AND MODELING OF FACES AND GESTURES;AMFG;Work in Progress
111;AMBIENT INTELLIGENCE;AMI;Work in Progress
112;AMERICAN MEDICAL INFORMATICS ANNUAL FALL SYMPOSIUM;AMIA;A-
113;ADAPTIVE MULTIMEDIA RETRIEVAL;AMR;Work in Progress
114;ASIA INTERNATIONAL CONFERENCE ON MODELLING AND SIMULATION;AMS;Work in Progress
115;AGENT AND MULTI-AGENT SYSTEMS: TECHNOLOGIES AND APPLICATIONS;AMSTA;Work in Progress
116;ACTIVE MEDIA TECHNOLOGY;AMT;Work in Progress
117;CONFERENCE OF THE ASSOCIATION FOR MACHINE TRANSLATION IN THE AMERICAS;AMTA;Work in Progress
